location,year,value
THESSALONIKI  GREECE ,2018,1
TIMISOARA ,2017,1
TIMISOARA  ROMANIA ,2017,1
KYOTO ,2017,1
TOKYO  JAPAN ,2016,1
TOKYO  JAPAN ,2017,3
TOKYO  JAPAN ,2018,1
TOLEDO (SPAIN) ,2018,1
TORINO  ITALY ,2018,1
TORONTO ,2017,1
TORONTO  CANADA ,2012,1
TOULOUSE ,2011,1
TOULOUSE  FRANCE ,2011,4
TOULOUSE  FRANCE ,2017,1
TRENTO  ITALY ,2013,1
TRIESTE  ITALY ,2017,2
TROMS  NORWAY ,2017,1
TSUKUBA  JAPAN ,2017,1
TUCSON  AZ ,2017,1
TUMKUR ,2013,1
TUNISIA ,2016,1
UBERLANDIA  MG - BRAZIL ,2017,2
ULSAN  KOREA ,2017,1
ULYANOVSK  RUSSIA ,2017,1
UNIVERSITAS MERCU BUANA - MERUYA CAMPUS ,2017,1
UNIVERSITAT POMPEU FABRA  BARCELONA ,2016,1
UNIVERSITI TEKNOLOGI BRUNEI ,2017,1
USTRON NEAR KRAKOW (CRACOW)  POLAND ,2015,1
USTRON NEAR KRAKOW (CRACOW)  POLAND ,2016,1
USTRON NEAR KRAKOW (CRACOW)  POLAND ,2017,1
USTRON  POLAND ,2012,1
USTRON  POLAND ,2013,1
USTRON  POLAND ,2014,1
VALENCIA  SPAIN ,2015,1
VALENCIENNES  FRANCE ,2018,1
VALPARAISO  CHILE ,2017,2
VANCOUVER  CANADA ,2017,2
VANCOUVER  CANADA ,2018,1
VARAZDIN  CROATIA ,2011,1
VELIKO TARNOVO  BULGARIA ,2013,1
VELIKY NOVGOROD  RUSSIA ,2014,1
VENICE ,2016,1
VENICE  ITALY ,2012,2
VENICE  ITALY ,2017,1
VIENNA ,2017,1
VIENNA  AUSTRIA ,2011,2
VIENNA  AUSTRIA ,2012,1
VIENNA  AUSTRIA ,2014,1
VIENNA  AUSTRIA ,2017,7
VIENNA  AUSTRIA ,2018,1
VIJAYAWADA  INDIA ,2017,1
VILAMOURA  ALGARVE  PORTUGAL ,2017,1
VILNIUS  LITHUANIA ,2012,1
VOLTERRA (PISA) TUSCANY ,2017,1
WARSAW  POLAND ,2014,1
WARSAW  POLAND ,2017,1
WASHINGTON DC ,2016,1
WASHINGTON DC ,2017,1
WINTERTHUR - SWITZERLAND ,2017,1
WROCLAW  POLAND ,2018,1
WUHAN  CHINA ,2013,1
WUHAN  CHINA ,2017,3
WUHAN  CHINA ,2018,1
YANGON  MYANMAR ,2017,1
YOGYAKARTA  INDONESIA ,2017,3
ZAKOPANE  POLAND ,2018,1
ZURICH  SWITZERLAND ,2013,1
ZURICH  SWITZERLAND ,2017,1
ZURICH  SWITZERLAND ,2018,3
GREECE ,2018,1
