Uberlandia, MG - Brazil	BRACIS 2017,SBBD 2017,,
Ulsan, Korea	HSI 2017,,
Ulyanovsk, Russia	IS 2017,,
Universitas Mercu Buana - Meruya Campus	DIPDMWC 2017,,
Universitat Pompeu Fabra, Barcelona	CCIA 2016,,
Universiti Teknologi Brunei	DEAs 2017,,
Ustron near Krakow (Cracow), Poland	BDAS 2017,BDAS 2015,BDAS 2016,,
Ustron, Poland	BDAS 2012,BDAS 2014,BDAS 2013,,
Valencia, Spain	DaWaK 2015,,
Valenciennes, France	ICMRE 2018,,
Valparaiso, Chile	CRoNe 2017,CIARP 2017,,
Vancouver, Canada	FTC 2017,IROS 2017,ICLR 2018,,
Varazdin, Croatia	CECIIS 2011,,
Veliko Tarnovo, Bulgaria	DiPP 2013,,
Veliky Novgorod, Russia	SYRCoDIS 2014,,
Venice	GOODTECHS 2016,,
Venice, Italy	SEBD 2012,IMMM 2017,CISIM 2012,,
Vienna	ISWC poster&amp;demo 2017,,
Vienna, Austria	CCSEIT 2017,MECH 2017,DMDB 2017,CSEN 2017,AIAP 2017,EDBT 2018,ADBIS 2011,ICMV 2017,SOTM-EU 2011,ISWC 2017,DATA 2014,DaWaK 2012,,
Vijayawada, India	ICCIDE 2017,,
Vilamoura, Algarve, Portugal	KES-IDT / IABIRP 2017,,
Vilnius, Lithuania	DB&IS 2012,,
Volterra (Pisa) Tuscany	MOD 2017,,
Warsaw, Poland	PBDA 2014,ISMIS 2017,,
Washington DC	AIPR 2016,SDAAM 2017,,
Winterthur - Switzerland	SwissText 2017,,
Wroclaw, Poland	QUALICO 2018,,
Wuhan, China	EI--AIACT 2017,AIED DC 2017,IEEE 2018,ICACR 2017,DASFAA 2013,,
Yangon, Myanmar	PACLING 2017,,
Yogyakarta, Indonesia	ICITDA 2017,SCDS 2017,ICOCB - EI 2017,,
Zakopane, Poland	ICAISC 2018,,
Zurich, Switzerland	CNSA 2018,AIAP 2018,CCSEIT 2018,ITCSE 2017,DMS 2013,,
island of Rhodes GREECE	EAIS 2018,,
